ID,PRODUCTO,CATEGORIA,TIPO,ACTIVO,H,M,P,%,COSTO,SEGURO,GANANCIA,REQUIERE IMPRESION,PERSONALIZABLE,STOCK,SUBTOTAL,,Coste plastico,"$30.000,00",
P001,ESTRELLA SENSORIAL S,KIT SENSORIAL,SENSORIAL,SI,2h,0m,46grs,60,$1.720,$504,$2.776,SI,NO,4,$5.000,,Taza de fallos,20%,
P002,ESTRELLA SENSORIAL XL,KIT SENSORIAL,SENSORIAL,SI,1h,51m,85grs,60,$2.865,$721,$4.414,SI,NO,0,$8.000,,Coste luz,"$170,08",
P003,PIÑA 8cm,KIT SENSORIAL,SENSORIAL,SI,2h,30m,41grs,60,$1.655,$531,$2.814,SI,NO,6,$5.000,,Coste amortizacion, $67,
P004,HUEVO DRAGON LISO,KIT SENSORIAL,SENSORIAL,SI,2h,36m,42grs,60,$1.702,$548,$2.749,SI,NO,0,$5.000,,,,
P005,HUEVO DRAGON TEXTURA,KIT SENSORIAL,SENSORIAL,SI,5h,7m,61grs,60,$2.700,$949,$4.350,SI,NO,0,$8.000,,"* Valores redondeados en $500, siempre para arriba",,
P006,PEPINO,KIT SENSORIAL,SENSORIAL,SI,4h,4m,64grs,60,$2.612,$848,$4.041,SI,NO,0,$7.500,,* Revisar valores cuadro tarifario EDENOR,,
P007,ESTRELLA FLEXIBLE,KIT SENSORIAL,SENSORIAL,SI,3h,57m,74grs,60,$2.892,$894,$4.714,SI,NO,1,$8.500,,,,
P008,ESTRELLA CONICET,KIT SENSORIAL,SENSORIAL,SI,5h,15m,52grs,60,$2.453,$911,$4.137,SI,NO,0,$7.500,,,,
P009,CUBO INFINITO,KIT SENSORIAL,SENSORIAL,SI,1h,19m,29grs,60,$1.094,$324,$2.082,SI,NO,15,$3.500,,,,
P010,PIÑA 13cm,KIT SENSORIAL,SENSORIAL,SI,5h,30m,113grs,60,$4.325,$1.305,$6.869,SI,NO,0,$12.500,,,,
P012,CONO GIRATORIO,KIT SENSORIAL,SENSORIAL,SI,3h,12m,34grs,60,$1.564,$569,$2.367,SI,NO,0,$4.500,,,,
,PEPINO NUEVA VERSION,KIT SENSORIAL,SENSORIAL,SI,2h,40m,59grs,60,$2.224,$658,$3.618,SI,NO,0,$6.500,,,,1
